SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,1408 E 66 St,Brooklyn,NY,11234,1680000,5,3.0,Brooklyn,2510,3752,1970,2,669,,Active,,,https://www.redfin.com/NY/Brooklyn/1408-E-66th-St-11234/home/40898251,BNYMLS,499102,N,Y,40.6204506,-73.9142931
MLS Listing,,Single Family Residential,160-51 80th St,Howard Beach,NY,11414,1499000,3,3.0,Howard Beach,2411,5253,1975,4,622,,Pre On-Market,,,https://www.redfin.com/NY/Howard-Beach/16051-80th-St-11414/home/20681925,OneKey® MLS as Distributed by MLS Grid,962352,N,Y,40.6542905,-73.8510851
MLS Listing,,Single Family Residential,164-14 85th St,Howard Beach,NY,11414,1649000,4,3.0,Howard Beach,2268,6000,1987,5,727,,Pre On-Market,,,https://www.redfin.com/NY/Howard-Beach/16414-85th-St-11414/home/20683603,OneKey® MLS as Distributed by MLS Grid,962332,N,Y,40.649078,-73.84537
MLS Listing,,Single Family Residential,2310 Bergen Ave,Brooklyn,NY,11234,1350000,5,2.5,Brooklyn,1850,4000,1950,9,730,,Active,,,https://www.redfin.com/NY/Brooklyn/2310-Bergen-Ave-11234/home/40900425,OneKey® MLS as Distributed by MLS Grid,961471,N,Y,40.6185507,-73.9001119
MLS Listing,,Single Family Residential,8311 Little Neck Pkwy,Glen Oaks,NY,11004,999000,4,3.0,Glen Oaks,1308,3760,1945,10,764,,Active,,,https://www.redfin.com/NY/Glen-Oaks/8311-Little-Neck-Pkwy-11004/home/20790639,OneKey® MLS as Distributed by MLS Grid,961190,N,Y,40.7376655,-73.7141553
MLS Listing,,Single Family Residential,10415 202nd St,Saint Albans,NY,11412,979999,7,4.0,Hollis,1878,3000,1925,11,522,,Active,February-22-2026 01:30 PM,February-22-2026 03:30 PM,https://www.redfin.com/NY/Saint-Albans/10415-202nd-St-11412/home/20740767,OneKey® MLS as Distributed by MLS Grid,960820,N,Y,40.7088189,-73.7565356
MLS Listing,,Single Family Residential,1942 W Haight Ave,Bronx,NY,10461,888888,3,2.0,Bronx,1848,2500,1955,11,481,,Active,,,https://www.redfin.com/NY/Bronx/1942-Haight-Ave-10461/home/44733195,OneKey® MLS as Distributed by MLS Grid,960563,N,Y,40.8527672,-73.8552878
MLS Listing,,Multi-Family (2-4 Unit),6271A 81st St,Middle Village,NY,11379,1428000,4,2.0,Middle Village,2116,2900,1940,12,675,,Active,,,https://www.redfin.com/NY/Middle-Village/6271A-81st-St-11379/home/20899875,OneKey® MLS as Distributed by MLS Grid,960202,N,Y,40.722019,-73.875325
MLS Listing,,Single Family Residential,18806 Brinkerhoff Ave,Saint Albans,NY,11412,999000,7,3.0,Jamaica,1255,5636,1930,13,796,,Active,,,https://www.redfin.com/NY/Saint-Albans/18806-Brinkerhoff-Ave-11412/home/20752403,OneKey® MLS as Distributed by MLS Grid,959650,N,Y,40.7031273,-73.7680796
